hyp -> con,       occurrence(hyp),     occurrence(con),      support(rule),       confidence,     classical index,     entropic index
Mygale -> Renard, 19.0000000000000000, 18.0000000000000000, 25.3333333333333357, 52.6315789473684177, 90.9850789827406032, 70.9066303930435851
Renard -> Mygale, 18.0000000000000000, 19.0000000000000000, 24.0000000000000000, 55.5555555555555571, 91.8726095958956677, 75.0992975789655333
Mygale -> Vautour, 19.0000000000000000, 18.0000000000000000, 25.3333333333333357, 52.6315789473684177, 90.9850789827406032, 70.9066303930435851
Vautour -> Mygale, 18.0000000000000000, 19.0000000000000000, 24.0000000000000000, 55.5555555555555571, 91.8726095958956677, 75.0992975789655333
Mygale -> Aigle, 19.0000000000000000, 18.0000000000000000, 25.3333333333333357, 31.5789473684210513, 58.1366637762019920, 35.6688048305007470
Aigle -> Mygale, 18.0000000000000000, 19.0000000000000000, 24.0000000000000000, 33.3333333333333286, 58.4353249516309532, 38.0437783522949857
Mygale -> Tortue, 19.0000000000000000, 18.0000000000000000, 25.3333333333333357, 31.5789473684210513, 58.1366637762019920, 35.6688048305007470
Tortue -> Mygale, 18.0000000000000000, 19.0000000000000000, 24.0000000000000000, 33.3333333333333286, 58.4353249516309532, 38.0437783522949857
Mygale -> Corbeau, 19.0000000000000000, 17.0000000000000000, 25.3333333333333357, 42.1052631578947327, 79.4082470369507121, 50.2824439302698494
Corbeau -> Mygale, 17.0000000000000000, 19.0000000000000000, 22.6666666666666643, 47.0588235294117609, 81.2963454807237014, 58.7649802736235216
Mygale -> Rat, 19.0000000000000000, 16.0000000000000000, 25.3333333333333357, 47.3684210526315752, 87.8919888280683637, 59.2046887579552674
Rat -> Mygale, 16.0000000000000000, 19.0000000000000000, 21.3333333333333357, 56.2500000000000000, 90.8139762516369018, 76.1669150476418793
Mygale -> Vache, 19.0000000000000000, 16.0000000000000000, 25.3333333333333357, 10.5263157894736832, 24.6638210158459437, 11.1699286850979185
Vache -> Mygale, 16.0000000000000000, 19.0000000000000000, 21.3333333333333357, 12.5000000000000000, 22.3171000270152575, 13.5349314842074904
Mygale -> Ane, 19.0000000000000000, 15.0000000000000000, 25.3333333333333357, 21.0526315789473664, 45.2388556123119798, 23.0332976672636640
Ane -> Mygale, 15.0000000000000000, 19.0000000000000000, 20.0000000000000000, 26.6666666666666679, 44.4594516916836611, 30.0829426523701606
Mygale -> Cigale, 19.0000000000000000, 15.0000000000000000, 25.3333333333333357, 31.5789473684210513, 65.5643649840354783, 35.8206251164648748
Cigale -> Mygale, 15.0000000000000000, 19.0000000000000000, 20.0000000000000000, 40.0000000000000000, 68.0794186528470391, 47.6222290316973229
Mygale -> Porc, 19.0000000000000000, 14.0000000000000000, 25.3333333333333357, 15.7894736842105257, 37.9969957894858084, 17.0574617776513797
Porc -> Mygale, 14.0000000000000000, 19.0000000000000000, 18.6666666666666679, 21.4285714285714270, 35.5775024007960923, 23.9352746365160947
Mygale -> Fourmi, 19.0000000000000000, 13.0000000000000000, 25.3333333333333357, 10.5263157894736832, 31.3540059885488951, 11.2515556323557426
Fourmi -> Mygale, 13.0000000000000000, 19.0000000000000000, 17.3333333333333357, 15.3846153846153850, 27.0397924072283793, 17.0448212248589286
Mygale -> Mouche, 19.0000000000000000, 11.0000000000000000, 25.3333333333333357, 21.0526315789473664, 55.4271782552998999, 23.1843737102900143
Mouche -> Mygale, 11.0000000000000000, 19.0000000000000000, 14.6666666666666661, 36.3636363636363669, 57.6400229096231485, 42.9570131242442628
Poule -> Pigeon, 19.0000000000000000, 19.0000000000000000, 25.3333333333333357, 52.6315789473684177, 89.9147835540787383, 70.8571997759804333
Pigeon -> Poule, 19.0000000000000000, 19.0000000000000000, 25.3333333333333357, 52.6315789473684177, 89.9147835540787383, 70.8571997759804333
Poule -> Lion, 19.0000000000000000, 19.0000000000000000, 25.3333333333333357, 10.5263157894736832, 18.6368370715279106, 11.0725163416170265
Lion -> Poule, 19.0000000000000000, 19.0000000000000000, 25.3333333333333357, 10.5263157894736832, 18.6368370715279106, 11.0725163416170265
Poule -> Chien, 19.0000000000000000, 19.0000000000000000, 25.3333333333333357, 47.3684210526315752, 83.6363751476103801, 59.0574274367579122
Chien -> Poule, 19.0000000000000000, 19.0000000000000000, 25.3333333333333357, 47.3684210526315752, 83.6363751476103801, 59.0574274367579122
Poule -> Chamois, 19.0000000000000000, 19.0000000000000000, 25.3333333333333357, 21.0526315789473664, 34.9221169373358862, 22.8446372656605483
Chamois -> Poule, 19.0000000000000000, 19.0000000000000000, 25.3333333333333357, 21.0526315789473664, 34.9221169373358862, 22.8446372656605483
Poule -> Singe, 19.0000000000000000, 18.0000000000000000, 25.3333333333333357, 36.8421052631578902, 68.3432586529397383, 42.6280880322249445
Singe -> Poule, 18.0000000000000000, 19.0000000000000000, 24.0000000000000000, 38.8888888888888928, 68.9922253410912845, 45.5968260747776739
Poule -> Guepe, 19.0000000000000000, 18.0000000000000000, 25.3333333333333357, 31.5789473684210513, 58.1366637762019920, 35.6688048305007470
Guepe -> Poule, 18.0000000000000000, 19.0000000000000000, 24.0000000000000000, 33.3333333333333286, 58.4353249516309532, 38.0437783522949857
Poule -> Renard, 19.0000000000000000, 18.0000000000000000, 25.3333333333333357, 21.0526315789473664, 37.4749385771946635, 22.8960014627679378
Renard -> Poule, 18.0000000000000000, 19.0000000000000000, 24.0000000000000000, 22.2222222222222214, 37.0434716578371379, 24.3596577669189891
Poule -> Vautour, 19.0000000000000000, 18.0000000000000000, 25.3333333333333357, 26.3157894736842088, 47.6092902033381975, 29.1291220770367190
Vautour -> Poule, 18.0000000000000000, 19.0000000000000000, 24.0000000000000000, 27.7777777777777786, 47.5211140874504352, 31.0189870241242609
Poule -> Aigle, 19.0000000000000000, 18.0000000000000000, 25.3333333333333357, 21.0526315789473664, 37.4749385771946635, 22.8960014627679378
Aigle -> Poule, 18.0000000000000000, 19.0000000000000000, 24.0000000000000000, 22.2222222222222214, 37.0434716578371379, 24.3596577669189891
Poule -> Tortue, 19.0000000000000000, 18.0000000000000000, 25.3333333333333357, 52.6315789473684177, 90.9850789827406032, 70.9066303930435851
Tortue -> Poule, 18.0000000000000000, 19.0000000000000000, 24.0000000000000000, 55.5555555555555571, 91.8726095958956677, 75.0992975789655333
Poule -> Corbeau, 19.0000000000000000, 17.0000000000000000, 25.3333333333333357, 15.7894736842105257, 30.6758121443520757, 16.9449528792350357
Corbeau -> Poule, 17.0000000000000000, 19.0000000000000000, 22.6666666666666643, 17.6470588235294130, 29.3968535997858567, 19.2135747961554344
Poule -> Rat, 19.0000000000000000, 16.0000000000000000, 25.3333333333333357, 31.5789473684210513, 63.1665095639455529, 35.7727874302477744
Rat -> Poule, 16.0000000000000000, 19.0000000000000000, 21.3333333333333357, 37.5000000000000000, 64.7154523740554879, 43.9426309876762460
Poule -> Vache, 19.0000000000000000, 16.0000000000000000, 25.3333333333333357, 42.1052631578947327, 81.1687696892869468, 50.3311255606061962
Vache -> Poule, 16.0000000000000000, 19.0000000000000000, 21.3333333333333357, 50.0000000000000000, 84.1446488728289239, 65.6259981719173169
Poule -> Ane, 19.0000000000000000, 15.0000000000000000, 25.3333333333333357, 36.8421052631578902, 74.8628073159933365, 42.7790069839958704
Ane -> Poule, 15.0000000000000000, 19.0000000000000000, 20.0000000000000000, 46.6666666666666643, 78.5290501108906795, 58.2985591362847799
Poule -> Cigale, 19.0000000000000000, 15.0000000000000000, 25.3333333333333357, 31.5789473684210513, 65.5643649840354783, 35.8206251164648748
Cigale -> Poule, 15.0000000000000000, 19.0000000000000000, 20.0000000000000000, 40.0000000000000000, 68.0794186528470391, 47.6222290316973229
Poule -> Porc, 19.0000000000000000, 14.0000000000000000, 25.3333333333333357, 47.3684210526315752, 90.1958761352389331, 59.2905358931297997
Porc -> Poule, 14.0000000000000000, 19.0000000000000000, 18.6666666666666679, 64.2857142857142918, 94.8236009235131405, 83.5717395808806742
Poule -> Fourmi, 19.0000000000000000, 13.0000000000000000, 25.3333333333333357, 26.3157894736842088, 60.4703610946820547, 29.3625930176792345
Fourmi -> Poule, 13.0000000000000000, 19.0000000000000000, 17.3333333333333357, 38.4615384615384670, 63.3203342569494509, 45.6585811451903609
Poule -> Mouche, 19.0000000000000000, 11.0000000000000000, 25.3333333333333357, 36.8421052631578902, 82.0611564003408915, 42.9463507865948699
Mouche -> Poule, 11.0000000000000000, 19.0000000000000000, 14.6666666666666661, 63.6363636363636331, 91.1947299341709652, 83.2987163662528332
Pigeon -> Lion, 19.0000000000000000, 19.0000000000000000, 25.3333333333333357, 10.5263157894736832, 18.6368370715279106, 11.0725163416170265
Lion -> Pigeon, 19.0000000000000000, 19.0000000000000000, 25.3333333333333357, 10.5263157894736832, 18.6368370715279106, 11.0725163416170265
