hyp -> con,       occurrence(hyp),     occurrence(con),      support(rule),       confidence,      classical index,         entropic index,     classical simi,       entropic simi
Securite1 -> SD1, 37.0000000000000000, 112.0000000000000000, 20.0000000000000000, 59.4594594594594600, 39.1009788138743630, 79.4460972391349000, 46.6323256492614750, 0.0000000000000000
SD1 -> ProgLog3, 112.0000000000000000, 32.0000000000000000, 60.5405405405405470, 13.3928571428571420, 32.4781954288482670, 7.2434037162640337, 16.0227164626121520, 0.0000000000000000
ProgLog3 -> SD1, 32.0000000000000000, 112.0000000000000000, 17.2972972972972980, 46.8750000000000000, 9.0209169928061463, 58.3674853618936210, 16.0227164626121520, 0.0000000000000000
SD1 -> Projet2, 112.0000000000000000, 31.0000000000000000, 60.5405405405405470, 17.8571428571428580, 55.0782263278961180, 10.8479094889848340, 61.1980497837066650, 0.0000000000000000
Projet2 -> SD1, 31.0000000000000000, 112.0000000000000000, 16.7567567567567580, 64.5161290322580640, 56.4711850471345900, 84.6457050216546350, 61.1980497837066650, 0.0000000000000000
SD1 -> Compil1, 112.0000000000000000, 31.0000000000000000, 60.5405405405405470, 12.5000000000000000, 31.0738861560821530, 6.7050981981559481, 13.5555654764175420, 0.0000000000000000
Compil1 -> SD1, 31.0000000000000000, 112.0000000000000000, 16.7567567567567580, 45.1612903225806410, 7.2309745984974665, 55.4128256424486520, 13.5555654764175420, 0.0000000000000000
SD1 -> ThGraph3, 112.0000000000000000, 24.0000000000000000, 60.5405405405405470, 12.5000000000000000, 47.8604555130004880, 7.2988294505294427, 44.4736331701278690, 0.0000000000000000
ThGraph3 -> SD1, 24.0000000000000000, 112.0000000000000000, 12.9729729729729740, 58.3333333333333360, 35.1002802750936810, 79.8689586204816640, 44.4736331701278690, 0.0000000000000000
SD1 -> SE2, 112.0000000000000000, 16.0000000000000000, 60.5405405405405470, 6.2500000000000000, 39.5276010036468510, 3.4984106617005564, 19.4019123911857600, 0.0000000000000000
SE2 -> SD1, 16.0000000000000000, 112.0000000000000000, 8.6486486486486491, 43.7500000000000000, 10.7192751267313110, 54.8296645053360760, 19.4019123911857600, 0.0000000000000000
Reseaux2 -> SD1, 7.0000000000000000, 112.0000000000000000, 3.7837837837837842, 28.5714285714285690, 6.1859403741808903, 33.9673070026994210, 13.8503566384315490, 0.0000000000000000
ProgLog2 -> SE3, 104.0000000000000000, 100.0000000000000000, 56.2162162162162180, 52.8846153846153870, 43.0169582366943360, 41.0220453922820810, 43.5569882392883300, 0.0000000000000000
SE3 -> ProgLog2, 100.0000000000000000, 104.0000000000000000, 54.0540540540540560, 55.0000000000000070, 38.8668562052375180, 45.3899672395028300, 43.5569882392883300, 0.0000000000000000
ProgLog2 -> IHM1, 104.0000000000000000, 100.0000000000000000, 56.2162162162162180, 56.7307692307692260, 62.1223636498043770, 50.4265396463119160, 64.4786477088928220, 0.0000000000000000
IHM1 -> ProgLog2, 100.0000000000000000, 104.0000000000000000, 54.0540540540540560, 59.0000000000000000, 62.6548372219326100, 56.1377981553793010, 64.4786477088928220, 0.0000000000000000
ProgLog2 -> Reseaux1, 104.0000000000000000, 99.0000000000000000, 56.2162162162162180, 56.7307692307692260, 65.1416456614062300, 51.4172472387445370, 67.3106789588928220, 0.0000000000000000
Reseaux1 -> ProgLog2, 99.0000000000000000, 104.0000000000000000, 53.5135135135135090, 59.5959595959595920, 65.9631132646785690, 59.6694025423822650, 67.3106789588928220, 0.0000000000000000
ProgLog2 -> Compil3, 104.0000000000000000, 94.0000000000000000, 56.2162162162162180, 50.0000000000000000, 45.3074753284454350, 38.1899672907967660, 45.3826218843460080, 0.0000000000000000
Compil3 -> ProgLog2, 94.0000000000000000, 104.0000000000000000, 50.8108108108108140, 55.3191489361702150, 40.7427527548241950, 51.1260791541858310, 45.3826218843460080, 0.0000000000000000
ProgLog2 -> Projet3, 104.0000000000000000, 93.0000000000000000, 56.2162162162162180, 50.9615384615384600, 53.9814651012420650, 41.7044007898673430, 53.9600729942321780, 0.0000000000000000
Projet3 -> ProgLog2, 93.0000000000000000, 104.0000000000000000, 50.2702702702702670, 56.9892473118279600, 50.3239235578554230, 57.7846031163182590, 53.9600729942321780, 0.0000000000000000
ProgLog2 -> Reseaux3, 104.0000000000000000, 79.0000000000000000, 56.2162162162162180, 40.3846153846153870, 37.7404332160949710, 27.0540037413297410, 35.8766287565231320, 0.0000000000000000
Reseaux3 -> ProgLog2, 79.0000000000000000, 104.0000000000000000, 42.7027027027027020, 53.1645569620253080, 30.2835219125045680, 59.2103343474138770, 35.8766287565231320, 0.0000000000000000
ProgLog2 -> Crypto1, 104.0000000000000000, 79.0000000000000000, 56.2162162162162180, 47.1153846153846130, 72.3911345005035400, 40.3485707694308640, 75.4474818706512450, 0.0000000000000000
Crypto1 -> ProgLog2, 79.0000000000000000, 104.0000000000000000, 42.7027027027027020, 62.0253164556961990, 75.1960729147333210, 74.3234786831987150, 75.4474818706512450, 0.0000000000000000
ProgLog2 -> Securite2, 104.0000000000000000, 76.0000000000000000, 56.2162162162162180, 38.4615384615384670, 36.3909482955932620, 25.3667035819149690, 33.8414669036865230, 0.0000000000000000
Securite2 -> ProgLog2, 76.0000000000000000, 104.0000000000000000, 41.0810810810810810, 52.6315789473684180, 28.1359344600868870, 59.7568182015999700, 33.8414669036865230, 0.0000000000000000
ProgLog2 -> Securite3, 104.0000000000000000, 72.0000000000000000, 56.2162162162162180, 41.3461538461538470, 62.4271810054779050, 31.8122041895826090, 65.4234528541564940, 0.0000000000000000
Securite3 -> ProgLog2, 72.0000000000000000, 104.0000000000000000, 38.9189189189189190, 59.7222222222222210, 63.0952447358962590, 73.3693530098405520, 65.4234528541564940, 0.0000000000000000
ProgLog2 -> SE1, 104.0000000000000000, 69.0000000000000000, 56.2162162162162180, 40.3846153846153870, 65.4540300369262700, 31.4252428145087710, 69.6910917758941650, 0.0000000000000000
SE1 -> ProgLog2, 69.0000000000000000, 104.0000000000000000, 37.2972972972972980, 60.8695652173913120, 68.0798262319015920, 75.6676792219771530, 69.6910917758941650, 0.0000000000000000
ProgLog2 -> Projet1, 104.0000000000000000, 61.0000000000000000, 56.2162162162162180, 33.6538461538461530, 53.3794701099395750, 23.8639697167159670, 54.8123478889465330, 0.0000000000000000
Projet1 -> ProgLog2, 61.0000000000000000, 104.0000000000000000, 32.9729729729729750, 57.3770491803278660, 50.3145877515841920, 73.2829595962612070, 54.8123478889465330, 0.0000000000000000
ProgLog2 -> Compil2, 104.0000000000000000, 60.0000000000000000, 56.2162162162162180, 36.5384615384615330, 69.4768428802490230, 28.5255243866663020, 76.8913626670837400, 0.0000000000000000
Compil2 -> ProgLog2, 60.0000000000000000, 104.0000000000000000, 32.4324324324324350, 63.3333333333333290, 76.4487222053453760, 80.3146398083688520, 76.8913626670837400, 0.0000000000000000
ProgLog2 -> Crypto3, 104.0000000000000000, 54.0000000000000000, 56.2162162162162180, 27.8846153846153870, 43.7188446521759030, 18.5608869923051250, 40.2744829654693600, 0.0000000000000000
Crypto3 -> ProgLog2, 54.0000000000000000, 104.0000000000000000, 29.1891891891891890, 53.7037037037037090, 34.0531067142775110, 69.6902466299179510, 40.2744829654693600, 0.0000000000000000
ProgLog2 -> Crypto2, 104.0000000000000000, 52.0000000000000000, 56.2162162162162180, 25.0000000000000000, 35.4265868663787840, 15.8713616631138110, 27.4967789649963380, 0.0000000000000000
Crypto2 -> ProgLog2, 52.0000000000000000, 104.0000000000000000, 28.1081081081081090, 50.0000000000000000, 21.2904822321386400, 62.3862280961456430, 27.4967789649963380, 0.0000000000000000
ProgLog2 -> ThGraph2, 104.0000000000000000, 49.0000000000000000, 56.2162162162162180, 20.1923076923076930, 22.7037489414215090, 11.8403158194622020, 10.6158219277858730, 0.0000000000000000
ThGraph2 -> ProgLog2, 49.0000000000000000, 104.0000000000000000, 26.4864864864864880, 42.8571428571428540, 6.9170604702804726, 48.6161248745954570, 10.6158219277858730, 0.0000000000000000
ProgLog2 -> IHM3, 104.0000000000000000, 48.0000000000000000, 56.2162162162162180, 28.8461538461538430, 63.4461551904678340, 21.1851967402210520, 71.9260334968566890, 0.0000000000000000
